case,emirate,education_type,gender,nationality,curriculum,students,schools,teachers,ptr,pf_rows,score_rows,nat_rows,avg_score
emirate=SHARJAH | gender=Female,SHARJAH,,Female,,,33375,91,4643,7.1882,0,0,0,
emirate=SHARJAH | gender=Male,SHARJAH,,Male,,,32875,91,4643,7.0806,0,0,0,
emirate=Sharjah / Eastern,Sharjah / Eastern,,,,,18303,38,1184,15.4586,0,0,0,
emirate=Sharjah / Eastern | gender=Female,Sharjah / Eastern,,Female,,,9275,38,1184,7.8336,0,0,0,
emirate=Sharjah / Eastern | gender=Male,Sharjah / Eastern,,Male,,,9028,38,1184,7.625,0,0,0,
emirate=Umm Al Quwain,Umm Al Quwain,,,,,16310,26,1179,13.8338,0,0,0,
emirate=Umm Al Quwain | gender=Female,Umm Al Quwain,,Female,,,8273,26,1179,7.017,0,0,0,
emirate=Umm Al Quwain | gender=Male,Umm Al Quwain,,Male,,,8037,26,1179,6.8168,0,0,0,
education_type=Applied Technology High School (ATHS),,Applied Technology High School (ATHS),,,,14136,20,1148,12.3136,0,0,0,
education_type=Applied Technology High School (ATHS) | gender=Female,,Applied Technology High School (ATHS),Female,,,6656,20,1148,5.7979,0,0,0,
education_type=Applied Technology High School (ATHS) | gender=Male,,Applied Technology High School (ATHS),Male,,,7480,20,1148,6.5157,0,0,0,
education_type=Continuous Education,,Continuous Education,,,,16714,15,76,219.9211,0,0,0,
education_type=Continuous Education | gender=Female,,Continuous Education,Female,,,6724,15,76,88.4737,0,0,0,
education_type=Continuous Education | gender=Male,,Continuous Education,Male,,,9990,15,76,131.4474,0,0,0,
education_type=Private Schools MOE Curriculum,,Private Schools MOE Curriculum,,,,135980,126,10634,12.7873,0,0,0,
education_type=Private Schools MOE Curriculum | gender=Female,,Private Schools MOE Curriculum,Female,,,66258,126,10634,6.2308,0,0,0,
education_type=Private Schools MOE Curriculum | gender=Male,,Private Schools MOE Curriculum,Male,,,69722,126,10634,6.5565,0,0,0,
education_type=Private Schools Non MOE Curriculum in the four northern emirates,,Private Schools Non MOE Curriculum in the four northern emirates,,,,115943,72,6282,18.4564,0,0,0,
education_type=Private Schools Non MOE Curriculum in the four northern emirates | gender=Female,,Private Schools Non MOE Curriculum in the four northern emirates,Female,,,55174,72,6282,8.7829,0,0,0,
